Domain,Task,Mistral-Small-24B,Qwen2.5-32B,OLMo-2-32B,Llama-3.1-70B,Qwen2.5-72B,Mistral-Large-123B,Mean
Language,anaphor_gender_agreement,99.8,99.3,95.9,72.9,98.6,96.1,93.8
Language,det_noun_agreement_irregular,87.8,78.0,47.7,83.0,80.0,84.1,76.8
Language,det_noun_agreement_regular,87.1,79.3,57.4,87.6,81.6,82.3,79.2
Language,det_noun_agreement_with_adjective,71.3,64.4,67.7,73.0,66.9,72.9,69.4
Language,hypernymy,92.8,95.0,95.0,87.5,96.2,95.3,93.6
Language,npi,98.0,98.7,94.7,90.8,98.0,97.4,96.3
Language,subject_verb_agreement,78.5,82.4,84.3,5.5,82.7,76.5,68.3
Language,wug,88.5,91.3,91.5,88.9,93.8,91.4,90.9
Formal,add_sub_2op_symbolic,99.2,99.6,99.1,100.0,99.7,98.0,99.3
Formal,add_sub_2op_verbal,84.1,91.8,86.2,94.8,93.0,90.8,90.1
Formal,add_sub_3op_symbolic,93.0,97.9,78.2,99.9,98.5,96.1,93.9
Formal,add_sub_3op_verbal,69.0,76.4,51.2,90.1,85.1,80.0,75.3
Formal,code_A,85.2,91.8,89.5,91.4,90.9,90.0,89.8
Formal,code_B,96.9,91.4,80.3,99.6,88.0,92.4,91.4
Formal,code_conditional,100.0,100.0,96.4,99.9,99.7,100.0,99.3
Formal,code_list,100.0,100.0,97.0,100.0,100.0,100.0,99.5
Formal,code_loop,72.1,87.4,85.5,98.7,89.7,88.4,87.0
Formal,logic_propositional_1,63.1,93.8,54.6,71.8,95.9,69.0,74.7
Formal,logic_propositional_symbolic,61.4,91.3,46.5,93.9,97.0,84.7,79.1
Formal,logic_syllogism_1,97.1,96.8,68.9,94.3,96.9,100.0,92.3
Formal,logic_syllogism_symbolic,84.0,99.9,54.9,98.0,96.6,93.5,87.8
Formal,mul_div_2op_symbolic,96.8,100.0,99.3,99.3,100.0,99.3,99.1
Formal,mul_div_2op_verbal,81.4,91.0,65.1,94.8,91.7,94.3,86.4
Formal,mul_div_3op_symbolic,55.3,93.3,70.0,92.3,94.3,73.3,79.8
Formal,mul_div_3op_verbal,26.9,51.1,18.0,57.0,69.0,48.3,45.0
Formal,number_sequence,41.8,76.3,81.5,73.0,70.5,34.5,63.0
Formal,number_sorting,99.8,99.4,80.3,98.1,99.7,99.8,96.2
Formal,simple_equation,37.4,82.9,73.3,61.4,85.8,61.4,67.0
Physics,phys_newton,71.0,80.1,91.9,76.5,77.4,81.3,79.7
Physics,phys_prost,83.3,89.7,87.4,88.8,95.4,90.3,89.2
Physics,physics_brightness,69.3,86.6,45.7,95.5,85.8,48.9,72.0
Physics,physics_buoyancy,57.6,65.5,45.3,65.3,71.5,87.7,65.5
Physics,physics_elasticity,100.0,99.5,98.7,100.0,100.0,100.0,99.7
Physics,physics_solubility,95.8,97.3,67.1,81.4,98.6,87.4,88.0
Physics,physics_speed,84.4,75.8,39.1,86.1,81.2,54.0,70.1
Physics,physics_stability,76.8,72.4,47.5,82.4,84.9,14.6,63.1
Physics,physics_temperature,98.2,93.9,100.0,100.0,99.9,99.4,98.6
Social,agent,66.2,67.0,82.2,76.4,77.8,68.6,73.0
Social,desires_goals,72.6,91.9,86.4,80.8,84.8,83.3,83.3
Social,emotion_fewshot,99.6,99.4,98.7,98.8,94.3,67.4,93.0
Social,norm_appropriate,99.1,100.0,100.0,100.0,100.0,100.0,99.8
Social,norm_moral,92.0,98.8,97.1,100.0,98.6,55.8,90.4
Social,primary_emotions,68.0,86.8,94.8,87.8,79.6,72.2,81.6
Social,secondary_emotions,46.8,66.8,89.5,70.8,65.4,58.6,66.3
Social,social_interactions,79.4,91.7,82.4,90.7,86.8,86.2,86.2
Social,social_relations,64.9,77.1,80.9,74.0,74.3,70.6,73.6
